Empresa;Local de Negócios;Divisão;Estado;UF
TBRA;123456;41DE;;
TBRA;1;29SP;São Paulo;SP
TBRA;2;29SP;São Paulo;SP
TBRA;1301;13RS;Rio Grande do Sul;RS
TBRA;1302;13RS;Rio Grande do Sul;RS
TBRA;1303;13RS;Rio Grande do Sul;RS
TBRA;1304;13RS;Rio Grande do Sul;RS
TBRA;1305;13RS;Rio Grande do Sul;RS
TBRA;1306;13RS;Rio Grande do Sul;RS
TBRA;1307;13RS;Rio Grande do Sul;RS
TBRA;1308;13RS;Rio Grande do Sul;RS
TBRA;1309;13RS;Rio Grande do Sul;RS
TBRA;1310;13RS;Rio Grande do Sul;RS
TBRA;1311;13RS;Rio Grande do Sul;RS
TBRA;1312;13RS;Rio Grande do Sul;RS
TBRA;1313;13RS;Rio Grande do Sul;RS
TBRA;1314;13RS;Rio Grande do Sul;RS
TBRA;1315;13RS;Rio Grande do Sul;RS
TBRA;1316;13RS;Rio Grande do Sul;RS
TBRA;1317;13RS;Rio Grande do Sul;RS
TBRA;1318;13RS;Rio Grande do Sul;RS
TBRA;1319;13RS;Rio Grande do Sul;RS
TBRA;1320;13RS;Rio Grande do Sul;RS
TBRA;1321;13RS;Rio Grande do Sul;RS
TBRA;1322;13RS;Rio Grande do Sul;RS
TBRA;1323;13RS;Rio Grande do Sul;RS
TBRA;1324;13RS;Rio Grande do Sul;RS
TBRA;1325;13RS;Rio Grande do Sul;RS
TBRA;1326;13RS;Rio Grande do Sul;RS
TBRA;1327;13RS;Rio Grande do Sul;RS
TBRA;1328;13RS;Rio Grande do Sul;RS
TBRA;1329;13RS;Rio Grande do Sul;RS
TBRA;1330;13RS;Rio Grande do Sul;RS
TBRA;1331;13RS;Rio Grande do Sul;RS
TBRA;1332;13RS;Rio Grande do Sul;RS
TBRA;1333;13RS;Rio Grande do Sul;RS
TBRA;1334;13RS;Rio Grande do Sul;RS
TBRA;1335;13RS;Rio Grande do Sul;RS
TBRA;1336;13RS;Rio Grande do Sul;RS
TBRA;1337;13RS;Rio Grande do Sul;RS
TBRA;1338;13RS;Rio Grande do Sul;RS
TBRA;1339;13RS;Rio Grande do Sul;RS
TBRA;1340;13RS;Rio Grande do Sul;RS
TBRA;1341;13RS;Rio Grande do Sul;RS
TBRA;1342;13RS;Rio Grande do Sul;RS
TBRA;1343;13RS;Rio Grande do Sul;RS
TBRA;1344;13RS;Rio Grande do Sul;RS
TBRA;1345;13RS;Rio Grande do Sul;RS
TBRA;1346;13RS;Rio Grande do Sul;RS
TBRA;1347;13RS;Rio Grande do Sul;RS
TBRA;1348;13RS;Rio Grande do Sul;RS
TBRA;1349;13RS;Rio Grande do Sul;RS
TBRA;1350;13RS;Rio Grande do Sul;RS
TBRA;1351;13RS;Rio Grande do Sul;RS
TBRA;1352;13RS;Rio Grande do Sul;RS
TBRA;1353;13RS;Rio Grande do Sul;RS
TBRA;1354;13RS;Rio Grande do Sul;RS
TBRA;1355;13RS;Rio Grande do Sul;RS
TBRA;1356;13RS;Rio Grande do Sul;RS
TBRA;1357;13RS;Rio Grande do Sul;RS
TBRA;1358;13RS;Rio Grande do Sul;RS
TBRA;1359;13RS;Rio Grande do Sul;RS
TBRA;1360;13RS;Rio Grande do Sul;RS
TBRA;1361;13RS;Rio Grande do Sul;RS
TBRA;1362;13RS;Rio Grande do Sul;RS
TBRA;1363;13RS;Rio Grande do Sul;RS
TBRA;1364;13RS;Rio Grande do Sul;RS
TBRA;1365;13RS;Rio Grande do Sul;RS
TBRA;1366;13RS;Rio Grande do Sul;RS
TBRA;1367;13RS;Rio Grande do Sul;RS
TBRA;1368;13RS;Rio Grande do Sul;RS
TBRA;1369;13RS;Rio Grande do Sul;RS
TBRA;1370;13RS;Rio Grande do Sul;RS
TBRA;1371;13RS;Rio Grande do Sul;RS
